target,source
"Sungguh beruntung, huh?","Pretty lucky, huh?"
"Tapi kini, aku berani bilang lansung. Kau bukan yang seperti itu lagi.","But now, I can say it to your face, 'cause you're not that person anymore."
"Kopi, Ny. Swann?","Coffee, Mrs. Swann?"
Yang harus kau lakukan adalah melihat gambar-nya dalamkinerjanya di Master Class pada tahun 1996 .,All you have to do is look at pictures of her in her performance in Master Class in 1996.
"Oh, Yesus!","Oh, Jesus!"
-Tepat sekali.,-Exactly.
"- Tidak, tidak.","- No, don't."
"Aku tidak tahu apa dokumenter ini seharusnya, tapi aku tidak suka mana Anda akan pergi.","I don't know what this documentary's supposed to be, but I don't like where you're going."
"Ibu, disini indah.","Mom, this is beautiful."
"Tunggu, nama dia adalah Molly?","Wait, her name's Molly'?"
Begitulah cara saya mendapatkan oleh.,That's how I get by.
"- Oh, mengerikan. Terima kasih untuk bertanya.","- Oh, awful.Thank you for asking."
Tuhan pun tahu.,God knows.
Mari lihat desa itu.,Let's check out that village.
Lima derajat kemudi kiri.,Five degree left rudder.
"Kalau kau membatalkan konferensi sekarang, pasti ada kebingungan, dan itu juga akan berakibat buruk pada konferensi antara Utara dan Selatan.","If you cancel the conference right now, there will be mass confusion, and that will also affect the conference between the North and South."
Tuff Darts.,Tuff Darts.
Kamu harus terkenal.,You should be famous.
Kenangan akan kembali. Kami hanya harus terus dengan itu. Mari kembali ke dalam hidup Anda.,"We just have to keep doing what we're doing, let you fall back into your life."
Aku sudah terlahir begini.,I was born that way.
Sekarang juga.,Right now.
"Oh, dan dia menulis buku ttg anak2","Oh, and she's writing a children's book,"
Ini adalah brokoli.,It's broccoli.
Aku tak ingin merepotkanmu.,I didn't wanna bother you.
Apa?,What?
Tidak ada yang spesial.,No. Nothing in particular.
Aku ingin semua mesin pencetak uang Angiulo keluar dari tempatnya.,I want all of Angiulo's vending machines out of the Old Colony.
Itu bukan gue .,- Turn around.
No Orang itu Anda berutang uang?,No. That person you owe money to?
Jangan ada yang mendekati pintu itu sampai pihak berwenang tiba.,No one goes near that door until the authorities arrive.
Baiklah.,Okay.
Namun BENDA ITU DICURI sebelum TIM PENELITI Mengamankan-nya.,It was stolen before our inspection team was able to secure it.
Aku ingin dia mati.,I want him dead.
"Hei, gadis-gadis.","Hey, ladies."
Aku pikir kau harus seperti itu.,I think you should like it
Kami tidak sekali orang-orang hebat.,We were once a great people.
Aku tidak takut mati.,I'm not afraid to die.
Bagaimana dengan makanan dan lainnya?,What about the bagels and all that?
"Aku tidak membuang apa pun, Papa.","I'm not throwing anything away, Dad."
Rakyat tidak akan mendukungnya.,The people will never support it.
"Oke, lanjut lagi.","Okay, I'm listening."
Sini.,Here.
Ada bom!,- Get away!
Bukan seperti yang di kota.,"No, like, in the city."
Hey. / Hey.,Hey. Hey.
Dipecat ?,Fired?
"♪ Ha ha ha, ho ho ho And a couple of tra-la-las ♪","Ha ha ha, ho ho ho And a couple of tra-la-las"
-Para gadis menyukai bokong..,- The girls love the ass.
"Mulai saat ini, Jika kau mendengar lagu itu, aku tak ingin kau menjadi kacau.","In the meantime, if you listen to that song, I don't want you to fall apart."
Aku suka bepergian.,I like traveling.
Kita harus merivisi daftar.,We need to revise the list.
Ikat dia.,Bind him.
Naluri Ksatria bisa menjangkau pedangnya bahkan saat ada kerikil yang menghadang.,A warrior's instinct is to reach for her sword even when struck by a pebble.
- Disimpulkan tank itu menyeberangi rawa.,- Assuming that he passed through the swamp.
Aku merasa seperti aku bahkan tak tahu siapa aku lagi.,I feel like I don't even know who I am anymore.
Tuan-tuan?,Gentlemen?
"Jika kau menutup matamu seperti ini, maka seluruh dunia akan menjadi gelap.","If you close your eyes like this, then the whole world will be dark."
"Untuk sekarang dan selamanya, aku membicarakan tentang sekarang dalam jarak bermil-mil.","It's fourth and forever. I'm talking fourth and, like, miles."
Kali ini kau punya kelemahan.,This time you have a weakness.
Dengar.,Listen.
Monster raksasa.,Giant monster!
"Aku ingin kau tahu, mulai sekarang, semua akan berbeda.","I just want to let you know, from now on, things are gonna be different."
Apa yang dia beri padamu?,What's she to you?
"Bahwa dia seperti ini CEO besar-shot yang semua pensiun sekarang, tapi dia dimuat.","That he's like this big-shot CEO that is all retired now, but he's loaded."
Terima kasih sudah menelepon balik.,Thanks for getting back.
Dia pergi.,He's leaving.
Tidak apa-apa.,It's okay.
Bagus.,Good.
Berikan ku... berikan kita kesempatan untuk menghentikannya.,Give me... give us the chance to stop it.
Dia sedang sibuk.,She's busy.
Aku datang memberi laporan.,I came as soon as I heard.
/ Tidak.,"Uh, no, thank you."
Hentikan!,Stop!
Lalu kemudian ketika Harry dan Llyod memperlihatkan surat dari ibu kandungnya Penny aku menyadari bahwa tulisan tangan yang mengirimkannya balik adalah punyamu.,"And then when Harry and Lloyd showed me the letter from Penny's birth mother, I recognized that the handwriting sending it back was yours."
"Oke, begini saja.","Okay, okay, okay. I'II tell you what."
Setan dan hantu jahat!,the danger of the Jinns and Satan!
