target,source
- No,- No.
"Hanya bercanda, hanya lelucon, Aku mencoba melucu.",I'm just kidding. That was a joke. I was just joking.
- Itu adalah bagaimana Anda menemukan membalaskan kematian kami?,And this is how you seek to avenge our fallen?
Aiee!,Aiee!
Masuk.,Get in.
Apa yang dia katakan?,What'd he say?
Tetaplah di sini.,Stay here.
"""Aku bersumpah aku sangat suka... gadis usia Anda.""","""I swear I really like...girls of your age."""
Akan kucari mereka!,And I'll find them!
Baiklah.,Okay. Alright...
Entahlah. Ada sesuatu... tapi...tak bisa pergi jauh darimu.,Theres something... but...can't go away from you.
Wah.,Wow.
Jangan menyerah.,You don't give up.
Kunci pintunya.,LOCK THE DOORS.
Itu tidak akan membantu.,It won't help you.
"Sejauh ini, Jaksa Wilayah...","So far, the district attorneys..."
"Dalam kesebelas yang berbeda situs yang terinfeksi, tiga adalah ...",In elleven different locations attack. Three of them as we speak...
Baik.,Okay.
Aku ingin dia mati.,I want him dead.
Apakah Bran akan mati?,Is Bran going to die?
!,!
"Ini bukan kebaikan, tapi kebajikan.",It's not kindness. But righteousness.
Oke.,Okay.
"Dan mereka baru saja kehilangan mereka keperawanan, dan dia mencintainya Dan lagu yang sama bermain di radio mobil.","And they just lost their virginity, and she loves him and the same song is playing on the car radio."
Liesl.,Liesl.
"Jika kamu tidak ingin bekerja, orang lain mau, Daji","If you don't want to work, someone else will, Daji."
Apa yang telah kami perbuat?,What've we done?
"Jika ya, maka lupakan saja.","If it is, then forget it."
"Sampai bertemu beberapa hari lagi, ya?","- See you in a couple of days, right'?"
"- Oh, ya, kamu lakukan","- Oh, yeah, you did."
"Dan aku tidak bisa membantu jika aku mati, kan?","And I can't do that if I'm dead, right?"
Turunkan aku.,Put me down.
[Machine whirs],[Machine whirs]
Untuk sekarang.,For now.
Tentu.,Sure.
/ Tidak.,"Uh, no, thank you."
Itu mantra.,It's a spell.
sudah kukatakan padamu bahwa dunia luar sana tidak cocok denganmu.,I done told you that world out there ain't no place for you.
Fuck!,Fuck!
Bodoh!,"Get out of the road, wanker!"
Wujudkanlah.,Make it happen.
- Senang [ Sniffs ] - [ Continues ] Apa ada yang mati disini?,Did something die in here?
"Mereka bilang, dia sedang di investigasi karena pengkhianatan.",They said he's being investigated for treason.
!,!
Rogeryang.,Roger that.
"Selamat, saudaraku.","Congratulations, brother."
Dan aku tak tahu apa aku bisa menghadapinya sendirian.,And I don't know if I can deal with it alone.
Dia tidak pernah bicara tentang ayahnya.,He never talks about his father.
Dan yg 2 itu akan terpecah lagi lagi dan lagi.,"And those will split again, and again and again."
"Ya, terbuka dan...","Yes, open and..."
Bagaimana awalnya kau bisa kenal dengan orang macam itu?,How did you get hooked up with that guy in the first place?
♪ You were there ♪,♪ you were there ♪
aku tidak sabar untuk mendengar nyanyian manis!,I can't wait to hear her sweet singing!
Meminta tambahan kesaksian...,Request additional testimony...
"Bahwa dia seperti ini CEO besar-shot yang semua pensiun sekarang, tapi dia dimuat.","That he's like this big-shot CEO that is all retired now, but he's loaded."
Ini bagian dimana aku harus melakukan...,This is the part where I'm supposed to do the whole.
"Bukan, bukan itu, sebenarnya.","No, not that, per se."
"Namun, saya mampu mengubah komposisi atom, seperti ini.","However, I am able to alter the composition of atoms, like this."
Bukti telah disampaikan.,The evidence has been delivered.
Lagi-lagi ini.,This again.
Dia bukan untuk Princeton.,He's just not Princeton material.
Apa yang membuatmu ke sini?,Why are you here?
Ini selalu dirimu.,This is who you'll always be.
"Jika aku tahu kau berbohong, kau bisa berharap aku akan meninggalkanmu di sini.","If I find out you're lying, you'll wish that I'd left you here."
Mm..,Mmm...
Apa yang akan Anda lakukan dengan itu?,What will you do with it?
Berantakan sekali.,What a mess.
Aku rasa iya.,Guess I do.
Aku takkan mengecewakanmu..,I won't let you down.
"Ya, aku peduli pada Ethan!","Yes, I care about Ethan!"
"maka tak akan ada lagi tujuan hidup manusiamu.""",By taking her away from you. Then there'll be nothing for your human half to live for.
"Ya, kita akan.","Yes, we will."
Apa?,What?
"Apa ini Krauts kotor-minded telah mengatakan, Akung?","What are these filthy-minded Krauts been saying, sweetheart?"
Bisa kau tolong urus dia?,Will you take care of him?
Hanya berjalan di depan... kanan,Just walk ahead... right
Okay.,Okay.
Kau mengerti?,Do you understand?
"Itu benar, Zayday Williams,","That's right, Zayday Williams,"
Marley tidak akan pergi kemana-mana.,Marley's not going anywhere.
Sampai jumpa .,See you.
Direktur Penerbangan lakukan pemeriksaan.,Flight directors on with the go/no-go for launch.
Semua aman Charlie.,All sorted Charlie.
- Pakai itu.,- Put those on.
"Ya, saya akan.","Yes, I will."
Tapi jutaan orang akan mati.,But millions of people will die.
"Tidak, tidak, tidak.","No, no, no."
Saudara Badshah!,Brother Badshah !
Aku baik saja.,I'm fine.
Jadi kita akan mempercayakannya dalam pencarian terbesar dalam sejarah manusia untuk lelaki yang baru saja menipumu?,So we'll entrust the greatest find in human history to a man who just lied to you?
"Namun, jika kau berencana untuk mendapatkan semuanya ini,","However, if you're planning on getting all up on this,"
Roma?,What about Rome?
Kau meminta kami datang.,You asked us to come.
Cari ide bersama.,Brainstorm.
Aku tidak sekedar bicara.,I am not just saying it.
Ya.,Yeah.
Itu masa yang sulit untuk istri pertama Ayah.,It was difficult for Daddy's first wife.
Apa kau disana?,Are you there?
- Aku mengerti.,- I get it. - What is it?
Atau Phil./ Baik.,Or Phil's. -Okay.
"""Rekaman telepon kediaman aktif. Baik.",Yes.
"Dia juga memanggil kita ""orang aneh.""",He called us freaks.
Aku tak tahu mengapa kita tak pernah kesini sebelumnya.,I don't know why we've never been here before.
"Ya, aku sedang mencobanya.","Yeah, I'm tryin' to be."
"Jadi apa yang akan terjadi, huh?","So, what's it going to be?"
"# Well, aku ingin menjadi raja Anda #","# Well, I want to be your monarch #"
"/ Tidak, ini.. Tidak!","No, this..."
"Boleh aku bertanya, Tn. Cliff Anderson...","Can I ask you a question, Mr. Cliff Anderson..."
"tidak, siapa kau?","No, who are you?"
Apa yang kita lakukan di sini?,What are we doing here?
Kau tidak berpikir Aku ingin berbicara denganmu tentang hal ini? Untuk berbagi denganmu?,"You don't think I wanna talk to you about this, to share it with you?"
Terlalu pagi untuk misa.,Little early for mass.
Tidak !,No!
"Kau tahu tentang Eve, kan?","- You know about Eve, right?"
"Arial‎, kamu disana‎?","Arial, are you there?"
Kau masih subur. kau harus menikah lagi dan beranak.,You're still fertile. You need to marry again and breed.
"Aku tahu kau masih trauma gara-gara perampokan itu, tapi kesabaranku sudah habis.","I realize you're still traumatized by the break-in, but my patience has officially expired. [Door opens]"
Tidak ada.,Nothing.
Kau harusnya mengerti.,You must understand.
Jangan ada yang mendekati pintu itu sampai pihak berwenang tiba.,No one goes near that door until the authorities arrive.
Yang penting adalah kita tidak akan kehilangan rumah.,What matters is we're not going to lose the house.
Itu hanya rumor yang disebar para anjing !,That is just a rumor spread by dogs!
Biar aku saja!,Give me now!
Apa yang kau lakukan?,What the hell is going on?
"Tapi dia gadis yang baik, apa yang terjadi dengan kalian?",But she was such a nice girl. What happened with you two?
Dan prioritas sekarang adalah Derek.,And the priority right now is Derek.
"OK, kamu melakukan satu hal.","Ok, you do one thing."
"Baiklah, ikut denganku.","All right, come with me."
"Sekarang cobalah kembali ""Lebih Jauh Kebelakang"".",Let's return to a time when you were even smaller.
Saya tidak ingin mengganggu apapun tapi aku benar-benar ingin duduk.,I don't want to interrupt anything but I'd really like to sit down.
- Biarkan dia pergi!,- Let him go!
"Maafkan aku, Rishi..",I'm sorry Rishi...
"Maaf, Jule.","I'm sorry, Jule."
"Jika dia mengenaliku, dia takkan menyakitiku.","If she recognizes me, she doesn't let it show."
tapi kita harus bergantung satu sama lain..,Who else we're gonna trust right now except for each other.
